,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
total_team_damage,-0.33597134820929797,-0.017013783506394712,0.08602450154265222,-0.17556373244006768,0.19377842262737238,-0.07994031259261042,0.08805918013147568,-0.03752402285582733,0.1606185978961921,-0.014670451756602424,0.09785846459758402,-0.11693910496080494,0.007855756283587218,-0.05064042750169516,0.23119339660198246,-0.031713899031913476,0.10724861416719209,-0.04725336520381651,0.11471933322342223,-0.3496523677262767
total_team_kills,-0.3317600007840148,0.0051570329542969875,0.02240627175742648,-0.2101727475247242,0.19787084075584968,-0.08436280216712362,0.052479940756125935,-0.06790618402420297,0.1830035405356409,-0.030899093141116853,0.08548925483386408,-0.12751685465119517,0.017717740447030533,-0.06678698236801552,0.13584746235453204,0.10643210443584548,-0.043675747277573236,-0.038701007224423975,0.02173801374696601,-0.530339219482421
team_kill_points,-0.052772812199591596,-0.4488683882432257,0.03345335153161863,-0.008862728121764467,-0.015369817605758512,-0.03266865069299056,0.07884662013251137,0.059802101485637735,0.0010981316952492527,0.028112883521261595,0.027538780489439533,-0.05069367535783307,-0.01354377516838155,0.012888551770073708,0.20543073856550617,-0.5579225452952946,-0.5186915841251688,-0.3430000939963012,0.1365151608223215,0.12489647244134758
team_kill_rank,0.2759403002199782,-0.08502572480022802,0.21457275856990382,-0.10352073492543992,0.02136876214402391,-0.09331603678718126,0.1957660728655308,0.09110351240851691,0.020178506624569742,0.2097187460097259,0.08486793538038433,-0.11836129661987041,-0.29076361351945085,0.23473666481267816,-0.2008846578882374,-0.4911897954844969,0.29037408453634006,0.24263838058690973,-0.3213384731866754,-0.263213108943038
team_normal_rank,0.02013327880269843,0.4930702237345338,0.15522883925991676,-0.07477932498077228,-0.0024757064795256573,0.003714619551384414,0.0161044321900558,0.004308581730687857,-0.017769312402388073,0.005390434552689109,0.003014345134816851,-0.020636156630863087,-0.0033610543425772856,-0.0027282170632694724,0.06143649558348661,-0.17815373570282952,-0.14528406516483502,-0.10466065104431499,0.045903387499582074,0.05059631304580291
team_revives,-0.2331842576672813,-0.009105071515250054,0.15721421205992203,0.11574290640157062,0.20857377505218122,-0.01532807743691221,-0.15381005870895043,0.0029857736581215067,-0.10317979710579489,0.4039454028376153,-0.10354918714322867,0.6819074623686441,-0.02730024429629045,0.38134710993771653,-0.06990306948833802,0.004188504513402552,-0.015848245175793727,-0.04398822057389122,0.15820201509122453,-0.1097178569724733
team_boosts,-0.2935599147258399,0.034044926761475636,0.0463122083533333,0.27481357691264546,0.07248408679085036,0.09565697410340829,-0.11926679894651052,-0.06718943101474628,-0.1296292709938385,0.083047577514813,-0.2864281123971538,-0.03799857679010405,-0.14183930382454646,-0.28199513540295285,0.06167929589564384,-0.08300926999259299,0.20112290137912178,-0.43001814272265904,-0.5984709052778558,0.02193179543542917
total_assists,-0.28082514987411183,-0.019957774287788,0.10353838640472157,-0.11979541299659636,0.28913883541924146,-0.10327190210710692,0.06413174306944323,-0.13255088927198636,0.22312497630200764,-0.01202686568767801,-0.03729087019203472,-0.24763606234560867,-0.09496298032602402,0.1037274656990392,-0.7168042649967337,0.07490593186473747,-0.12428737221496415,-0.12710993207703414,0.04383112848570933,0.3056476578007047
team_DBNOs,-0.3007426145782051,-0.03477704876434881,0.1836961482004344,-0.1669387785658928,0.18471507301335954,-0.10274480239033393,0.08667191168409302,0.029660235722751258,0.10366789511833974,0.09494264016446946,0.04894557133840831,0.045656036745295246,0.0994090214676701,-0.02031435817199604,0.37776242628159484,-0.013070820598918943,-0.01154989769370984,0.49969559630702526,-0.28295313509608355,0.5285495648827852
totalDistance,-0.23008399654716716,0.029281538512653284,0.12075098958858438,0.4590204598718386,-0.016477943756922984,0.08200336704168441,0.08025618852987255,0.016926762076466782,-0.022954118196432324,-0.1029185108843244,-0.3415771350677037,-0.05818389983389207,-0.1849186126659796,-0.3367212442377936,-0.09772438825661012,-0.24358673360547137,-0.0007228018891395002,0.4450264668552601,0.38882407323346685,-0.09225792792629896
